n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
30,31,30,ER,gauss,0,l2,6.340121707,6.340121707,6.340225947,6.340610989,4.57E-09,11.54548445,11.54548445,11.54548445,11.54548444,-1.07E-14,15.98182993,15.98182993,15.98182993,15.98182993,0
31,32,31,ER,gauss,0,l2,7.304543181,7.304543181,7.304655202,7.305064392,4.73E-09,15.99084682,15.99084682,15.99084682,15.99084682,0,16.95646767,16.95646767,16.95646767,16.95646767,0
32,33,32,ER,gauss,0,l2,7.053222732,7.053222732,7.053349892,7.053822711,5.04E-09,15.23958276,15.23958276,15.23958276,15.23958276,0,16.24707699,16.24707699,16.24707699,16.24707699,0
33,34,33,ER,gauss,0,l2,7.492204356,7.492204356,7.492348144,7.49287026,5.36E-09,21.30131853,21.30131853,21.30131853,21.30131853,-1.42E-14,17.5382194,17.5382194,17.5382194,17.5382194,0
34,35,34,ER,gauss,0,l2,7.53052765,7.53052765,7.530655128,7.531120109,5.05E-09,19.43901154,19.43901154,19.43901154,19.43901154,1.42E-14,18.43999838,18.43999838,18.43999838,18.43999838,0
35,36,35,ER,gauss,0,l2,8.619676059,8.619676059,8.620022861,8.620850958,2.63E-09,16.84141787,16.84141787,16.84141787,16.84141787,0,18.37548975,18.37548975,18.37548975,18.37548975,0
36,37,36,ER,gauss,0,l2,8.784232391,8.784232391,8.784373655,8.784895291,5.32E-09,22.143507,22.143507,22.143507,22.143507,0,18.58767519,18.58767519,18.58767519,18.58767519,0
37,38,37,ER,gauss,0,l2,8.451830214,8.451830214,8.451945069,8.452376813,4.79E-09,17.97845985,17.97845985,17.97845985,17.97845985,0,20.42429403,20.42429403,20.42429403,20.42429403,0
38,39,38,ER,gauss,0,l2,9.843032968,9.843032968,9.843218747,9.843905219,6.10E-09,24.91176154,24.91176154,24.91176154,24.91176154,0,20.97672409,20.97672409,20.97672409,20.97672409,0
39,40,39,ER,gauss,0,l2,9.61741062,9.61741062,9.61769651,9.618780074,7.56E-09,60.77625796,60.77625796,60.77625796,60.77625796,1.42E-14,19.9187061,19.9187061,19.9187061,19.9187061,0
