n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
5.0,5.0,5.0,ER,gauss,0.1,l2,1.2548978564378965,1.5847902417707613,1.5848058395402052,1.4351231617274733,5.585296669607942e-09
5.0,5.0,5.0,ER,exp,0.1,l2,2.110596986361933,2.766495095845408,2.76653948311146,2.5754515147345938,2.9795055311865326e-09
5.0,5.0,5.0,ER,gumbel,0.1,l2,2.2136670769161197,3.1478426934318087,3.147869330232572,2.8398162196695678,2.308107482917876e-09
5.0,5.0,5.0,ER,uniform,0.1,l2,0.625917789404475,0.9455102301904857,0.9455187181274245,0.8306018887203603,4.120178864752688e-09
10.0,5.0,5.0,ER,gauss,0.1,l2,2.5554153484775224,3.1580305327224463,3.1580545234004234,3.032492788526693,2.1904646985149157e-09
10.0,5.0,5.0,ER,exp,0.1,l2,1.816211460918482,2.4682386463763493,2.468254750776763,2.3950135833965716,5.675279801664601e-09
10.0,5.0,5.0,ER,gumbel,0.1,l2,2.206171560023447,2.777969216432242,2.7780087941403617,2.7430625292202495,8.896932968127658e-09
10.0,5.0,5.0,ER,uniform,0.1,l2,0.9840730121944073,1.5184972773618997,1.5185081667997153,1.3319540856188437,4.666784292339798e-09
20.0,5.0,5.0,ER,gauss,0.1,l2,1.902335826877609,2.4965765582560704,2.496604711698503,2.359523005631109,7.503791366048063e-09
20.0,5.0,5.0,ER,exp,0.1,l2,2.9730091818412703,3.482670952055033,3.4827041778279755,2.634615264862325,2.5778197354497934e-09
20.0,5.0,5.0,ER,gumbel,0.1,l2,2.789290732684688,3.4059594117927374,3.4060124417399784,3.391151137503704,3.256683811514449e-09
20.0,5.0,5.0,ER,uniform,0.1,l2,1.5376080059770658,2.0548850189382795,2.0549288945706277,1.4871499800764214,9.367564501872039e-09
30.0,5.0,5.0,ER,gauss,0.1,l2,2.387689965789355,2.9882163551904544,2.9882625175498023,2.873841754422383,9.608575268771347e-09
30.0,5.0,5.0,ER,exp,0.1,l2,2.5925239259425497,3.045777007928254,3.0458118435311787,3.042117516406802,2.639530372050558e-09
30.0,5.0,5.0,ER,gumbel,0.1,l2,3.906437420265966,4.524531312055175,4.524590514411904,4.467461400587501,3.440998597170619e-09
30.0,5.0,5.0,ER,uniform,0.1,l2,0.8468878407725493,1.3176457968149484,1.317662696909487,1.3175651761730587,5.813793002573675e-09
5.0,10.0,10.0,ER,gauss,0.1,l2,1.7628000197409113,3.4336076933684447,3.433644382133532,3.1761762683609747,2.708828716890821e-09
5.0,10.0,10.0,ER,exp,0.1,l2,1.1220626362475945,2.2628746183506165,2.262929149519624,2.167997987221086,3.3024587509089542e-09
5.0,10.0,10.0,ER,gumbel,0.1,l2,10.475085853961726,13.229876135043561,13.230243301529434,5.9500883592271325,8.569323028950748e-09
5.0,10.0,10.0,ER,uniform,0.1,l2,1.2996736848713681,2.3540112841265532,2.354170269542452,1.9207670490549593,5.638890243631067e-09
10.0,10.0,10.0,ER,gauss,0.1,l2,3.1753816979344194,4.554376913588585,4.5546427082744305,4.053917426253082,7.291017567467861e-09
10.0,10.0,10.0,ER,exp,0.1,l2,4.055467797697637,5.547467545799616,5.547505542816346,4.847027774252585,2.7567015337126577e-09
