n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
1.0,2.0,1.0,ER,gumbel,0.0,l2,0.22104423474291882,0.22104423474291882,0.22104714759327143,0.22105801552925516,2.4136488363524222e-09,0.22106595670712897,0.22106595670712897,0.22106595670712897,0.22106595670712897,0.0,1.4814916958685695,1.4814916958685695,1.4814916958685695,1.4814916958685695,0.0
2.0,3.0,2.0,ER,gumbel,0.0,l2,0.84508819430398,0.84508819430398,0.8451178682208568,0.8452285852357959,7.70375452319172e-09,0.875794422093034,0.875794422093034,0.875794422093034,0.875794422093034,0.0,1.098839497313835,1.098839497313835,1.098839497313835,1.098839497313835,0.0
3.0,4.0,3.0,ER,gumbel,0.0,l2,0.2992339630986621,0.2992339630986621,0.29923759207614314,0.29925111739940097,2.6940591979496276e-09,0.2992608823054037,0.2992608823054037,0.2992608823054037,0.29926088230986275,8.881784197001252e-16,1.7146592333649988,1.7146592333649988,1.7146592333649988,1.7146592333649988,0.0
4.0,5.0,4.0,ER,gumbel,0.0,l2,1.0333255175259604,1.0333255175259604,1.0333393846724022,1.0333911019979256,5.2663358118820724e-09,1.0334287975410688,1.0334287975410688,1.0334287975410688,1.0334287975236243,-1.7763568394002505e-15,4.201302167955242,4.201302167955242,4.201302167955242,4.201302167955242,0.0
5.0,6.0,5.0,ER,gumbel,0.0,l2,1.098777761033223,1.098777761033223,1.0987946897518528,1.098857998539488,5.8187143991972334e-09,1.098904823266411,1.098904823266411,1.098904823266411,1.098904823266411,0.0,4.463075257162749,4.463075257162749,4.463075257162749,4.463075257162749,0.0
6.0,7.0,6.0,ER,gumbel,0.0,l2,1.9485537104069235,1.9485537104069235,1.948580438080057,1.9486805607464919,2.312041225138728e-09,2.197075589185206,2.197075589185206,2.197075589185206,2.1970755891467433,-8.881784197001252e-16,6.578406748934445,6.578406748934445,6.578406748934445,6.578406748934445,0.0
7.0,8.0,7.0,ER,gumbel,0.0,l2,2.320528413435724,2.320528413435724,2.3205557109846486,2.3206575406802044,2.33655939041455e-09,2.3209233856812133,2.3209233856812133,2.3209233856812133,2.3209233857586287,1.7763568394002505e-15,7.1468516881287725,7.1468516881287725,7.1468516881287725,7.1468516881287725,0.0
8.0,9.0,8.0,ER,gumbel,0.0,l2,3.0569103644634597,3.0569103644634597,3.056981077924827,3.0572359724231575,3.7606771030596065e-09,4.635955558529899,4.635955558529899,4.635955558529899,4.635955558770698,3.552713678800501e-15,9.238075584327307,9.238075584327307,9.238075584327307,9.238075584327307,0.0
9.0,10.0,9.0,ER,gumbel,0.0,l2,3.6718937837769876,3.6718937837769876,3.671946553890377,3.672140285655617,3.2486955348076663e-09,6.03288718805263,6.03288718805263,6.032887188052631,6.032887188688216,1.0658141036401503e-14,11.912068805593384,11.912068805593384,11.912068805593384,11.912068805593384,0.0
