n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
30,31,30,ER,uniform,0,l2,2.21888674,2.21888674,2.21893106,2.21909578,9.41E-09,3.802509476,3.802509476,3.802509476,3.802509476,0,5.023109228,5.023109228,5.023109228,5.023109228,0
31,32,31,ER,uniform,0,l2,2.52014031,2.52014031,2.520192269,2.520326064,3.22E-09,5.446152181,5.446152181,5.446152181,5.44615218,-1.07E-14,5.33363515,5.33363515,5.33363515,5.33363515,0
32,33,32,ER,uniform,0,l2,2.432729533,2.432729533,2.432779407,2.432964645,9.99E-09,4.365342829,4.365342829,4.365342829,4.365342829,-7.11E-15,5.236384416,5.236384416,5.236384416,5.236384416,0
33,34,33,ER,uniform,0,l2,2.623234028,2.623234028,2.623283448,2.623465046,3.14E-09,7.321964623,7.321964623,7.321964623,7.321964623,0,5.434851939,5.434851939,5.434851939,5.434851939,0
34,35,34,ER,uniform,0,l2,2.557853314,2.557853314,2.557886265,2.558009365,2.57E-09,8.57502696,8.57502696,8.57502696,8.575026961,2.84E-14,5.837829648,5.837829648,5.837829648,5.837829648,0
35,36,35,ER,uniform,0,l2,2.910349108,2.910349108,2.910390816,2.91053996,2.89E-09,7.624370485,7.624370485,7.624370485,7.624370485,-7.11E-15,6.128786382,6.128786382,6.128786382,6.128786382,0
36,37,36,ER,uniform,0,l2,2.910194418,2.910194418,2.910224633,2.910337779,2.46E-09,6.79803188,6.79803188,6.79803188,6.79803188,-7.11E-15,6.302013074,6.302013074,6.302013074,6.302013074,0
37,38,37,ER,uniform,0,l2,2.863917905,2.863917905,2.863955272,2.864095845,2.73E-09,11.16219164,11.16219164,11.16219164,11.16219164,-1.42E-14,6.165940121,6.165940121,6.165940121,6.165940121,0
38,39,38,ER,uniform,0,l2,2.901267551,2.901267551,2.901305666,2.901446673,2.76E-09,13.42769116,13.42769116,13.42769116,13.42769116,1.42E-14,6.3522524,6.3522524,6.3522524,6.3522524,0
39,40,39,ER,uniform,0,l2,3.287503754,3.287503754,3.287545743,3.287701971,2.90E-09,10.13839068,10.13839068,10.13839068,10.13839068,0,6.720924534,6.720924534,6.720924534,6.720924534,0
40,41,40,ER,uniform,0,l2,3.179325528,3.179325528,3.179354415,3.179481107,2.40E-09,12.10760512,12.10760512,12.10760512,12.10760513,2.13E-14,7.006605226,7.006605226,7.006605226,7.006605226,0
41,42,41,ER,uniform,0,l2,2.939987518,2.939987518,2.940020818,2.940142014,2.58E-09,8.30330661,8.30330661,8.30330661,8.30330661,0,6.66882622,6.66882622,6.66882622,6.66882622,0
42,43,42,ER,uniform,0,l2,3.560634129,3.560634129,3.562903898,3.568002655,2.13E-09,7.418931172,7.418931172,7.418931172,7.418931172,0,7.214312258,7.214312258,7.214312258,7.214312258,0
43,44,43,ER,uniform,0,l2,3.211687984,3.211687984,3.212221534,3.213419771,3.27E-09,9.023430324,9.023430324,9.023430324,9.023430324,0,7.438340701,7.438340701,7.438340701,7.438340701,0
44,45,44,ER,uniform,0,l2,3.633606107,3.633606107,3.633646649,3.633804886,2.85E-09,10.31674756,10.31674756,10.31674756,10.31674756,0,7.591359057,7.591359057,7.591359057,7.591359057,0
45,46,45,ER,uniform,0,l2,3.682736165,3.682736165,3.687243086,3.696783836,3.00E-09,8.768203011,8.768203011,8.768203011,8.768203011,0,7.644321526,7.644321526,7.644321526,7.644321526,0
46,47,46,ER,uniform,0,l2,3.679576139,3.679576139,3.679852454,3.680698609,2.35E-09,8.806159428,8.806159428,8.806159428,8.806159431,7.11E-15,7.708107521,7.708107521,7.708107521,7.708107521,0
47,48,47,ER,uniform,0,l2,3.620410155,3.620410155,3.620462257,3.620593152,1.02E-09,9.592094738,9.592094738,9.592094738,9.592094741,2.13E-14,8.032438753,8.032438753,8.032438753,8.032438753,0
48,49,48,ER,uniform,0,l2,3.847228304,3.847228304,3.851765454,3.861382837,9.53E-09,20.15771487,20.15771487,20.15771487,20.1577149,3.55E-14,8.195323509,8.195323509,8.195323509,8.195323509,0
49,50,49,ER,uniform,0,l2,3.743856912,3.743856912,3.74390944,3.744104778,3.24E-09,12.15279678,12.15279678,12.15279678,12.15279678,0,8.344256246,8.344256246,8.344256246,8.344256246,0
50,51,50,ER,uniform,0,l2,4.055598095,4.055598095,4.056804651,4.059465901,4.91E-09,10.48963077,10.48963077,10.48963077,10.48963077,0,8.532238213,8.532238213,8.532238213,8.532238213,0
51,52,51,ER,uniform,0,l2,3.953632407,3.953632407,3.954538459,3.956622649,1.35E-09,11.70090546,11.70090546,11.70090546,11.70090546,0,8.620416875,8.620416875,8.620416875,8.620416875,0
52,53,52,ER,uniform,0,l2,4.077810304,4.077810304,4.077861303,4.078052414,3.19E-09,9.522619593,9.522619593,9.522619593,9.522619593,0,8.515512499,8.515512499,8.515512499,8.515512499,0
53,54,53,ER,uniform,0,l2,4.377695105,4.377695105,4.377747801,4.377941188,3.25E-09,15.64997649,15.64997649,15.64997649,15.64997648,-1.42E-14,9.151533316,9.151533316,9.151533316,9.151533316,0
54,55,54,ER,uniform,0,l2,4.311076576,4.311076576,4.435972347,4.692464526,5.00E-09,14.79367905,14.79367905,14.79367905,14.79367905,0,9.196860668,9.196860668,9.196860668,9.196860668,0
55,56,55,ER,uniform,0,l2,4.268279402,4.268279402,4.268339593,4.268559036,3.47E-09,21.89179589,21.89179589,21.89179589,21.89179589,3.55E-14,9.241879762,9.241879762,9.241879762,9.241879762,0
56,57,56,ER,uniform,0,l2,4.539260586,4.539260586,4.539313549,4.539507939,3.25E-09,13.22919888,13.22919888,13.22919888,13.22919888,0,9.38683378,9.38683378,9.38683378,9.38683378,0
57,58,57,ER,uniform,0,l2,4.440705142,4.440705142,4.440763893,4.440984888,3.43E-09,18.04954073,18.04954073,18.04954073,18.04954073,-7.11E-15,9.606535502,9.606535502,9.606535502,9.606535502,0
