n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
2.0,80.0,80.0,ER,gauss,0.0,l2,76.27086856623396,76.27086856623396,76.27087594023575,2.369304068203887e-05,3.840312956526759e-09
2.0,80.0,80.0,ER,exp,0.0,l2,68.68125069141263,68.68125069141263,68.68125733644167,2.1018619471306e-05,3.6455531926549156e-09
2.0,80.0,80.0,ER,gumbel,0.0,l2,188.9614239558459,188.9614239558459,188.96142631489752,1.03203667495635e-05,6.868845048302319e-09
2.0,80.0,80.0,ER,uniform,0.0,l2,27.93281464815368,27.93281464815368,27.932816950428457,7.302118108234611e-06,6.785683126508957e-09
2.0,80.0,10.0,ER,gauss,0.0,l2,18.54465733675181,18.54465733675181,18.544659532082544,6.967807877236968e-06,2.0953905277565354e-09
2.0,80.0,10.0,ER,exp,0.0,l2,18.504167464094415,18.504167464094415,18.504171674726578,1.331571477886443e-05,9.176744697469985e-09
2.0,80.0,10.0,ER,gumbel,0.0,l2,39.606658790768975,39.606658790768975,39.606661874980645,9.796728013208517e-06,2.483631078575854e-09
2.0,80.0,10.0,ER,uniform,0.0,l2,7.374027755645091,7.374027755645091,7.374030815621924,9.599681055765697e-06,2.4738540105317952e-09
5.0,80.0,80.0,ER,gauss,0.0,l2,166.31910943841086,166.31910943841086,166.55389436925375,0.8760039677786029,6.852516776234552e-09
5.0,80.0,80.0,ER,exp,0.0,l2,45.10546602012709,45.10546602012709,45.24981986387881,0.43632283333848204,5.373152589527308e-09
5.0,80.0,80.0,ER,gumbel,0.0,l2,45.84318757673847,45.84318757673847,45.84345260551013,0.0008192535292926109,7.2805050876922905e-09
5.0,80.0,80.0,ER,uniform,0.0,l2,12.351379373297215,12.351379373297215,12.351504782391778,0.0003799029927144894,5.008175207876775e-09
5.0,80.0,10.0,ER,gauss,0.0,l2,10.77631423223846,10.77631423223846,10.776370215660048,0.00017513627916948126,3.3461446946603246e-09
5.0,80.0,10.0,ER,exp,0.0,l2,9.317533805764063,9.317533805764063,9.350201875233198,0.14231227435451851,8.083077318588039e-09
5.0,80.0,10.0,ER,gumbel,0.0,l2,19.740295863781725,19.740295863781725,19.740391047071792,0.00029434409624389955,4.36310187978961e-09
5.0,80.0,10.0,ER,uniform,0.0,l2,3.3512687433929105,3.3512687433929105,3.356791544898262,0.021729716736084502,3.3234925922442926e-09
7.0,80.0,80.0,ER,gauss,0.0,l2,37.21913157209354,37.21913157209354,37.752592213500066,1.7465226205953237,1.0329188171454007e-08
7.0,80.0,80.0,ER,exp,0.0,l2,29.15827537929233,29.15827537929233,29.490878823913878,1.1103746738075781,8.15602163584117e-09
7.0,80.0,80.0,ER,gumbel,0.0,l2,51.76439580823655,51.76439580823655,53.01520362491005,4.171666023949774,1.5816496556908533e-08
7.0,80.0,80.0,ER,uniform,0.0,l2,11.440518409136564,11.440518409136564,11.476150778896542,0.1800805113409979,8.441844556728029e-09
7.0,80.0,10.0,ER,gauss,0.0,l2,12.673086890719377,12.673086890719377,13.001923747276656,1.0719874816791153,8.109708460324327e-09
7.0,80.0,10.0,ER,exp,0.0,l2,10.16157208425973,10.16157208425973,10.198585676122345,0.21008475251084058,8.603905143900192e-09
7.0,80.0,10.0,ER,gumbel,0.0,l2,16.396983028509705,16.396983028509705,16.83123848191222,1.4401103847076355,9.319393257101183e-09
7.0,80.0,10.0,ER,uniform,0.0,l2,3.28474202101125,3.28474202101125,3.439068165943346,0.5269226062779477,5.555648385779932e-09
10.0,80.0,80.0,ER,gauss,0.0,l2,31.581704511250827,31.581704511250827,33.42584899272576,7.408463641812451,1.9204918544346583e-08
10.0,80.0,80.0,ER,exp,0.0,l2,43.53978517981227,43.53978517981227,43.57106667073719,0.8350758345392805,7.909676469353144e-09
10.0,80.0,80.0,ER,gumbel,0.0,l2,44.97805819233087,44.97805819233087,45.885505842778855,5.188114295834802,1.3471805004883208e-08
10.0,80.0,80.0,ER,uniform,0.0,l2,11.778542796537668,11.778542796537668,12.252794197389166,1.9927941040032855,9.739110851114674e-09
10.0,80.0,10.0,ER,gauss,0.0,l2,11.671294350855648,11.671294350855648,12.636942330296616,3.980529751248918,1.3897107464799774e-08
10.0,80.0,10.0,ER,exp,0.0,l2,11.698196928314253,11.698196928314253,11.999186288990472,1.8900963948194471,7.758728770568268e-09
10.0,80.0,10.0,ER,gumbel,0.0,l2,19.555126836904147,19.555126836904147,20.25775537392288,3.811266477063911,1.1854353942908347e-08
10.0,80.0,10.0,ER,uniform,0.0,l2,4.59695734252264,4.59695734252264,5.017525148876611,1.7480407761274237,9.171344572678208e-09
12.0,80.0,80.0,ER,gauss,0.0,l2,44.98948525912614,44.98948525912614,45.29275243647806,3.8064311131310395,7.788031552991015e-09
12.0,80.0,80.0,ER,exp,0.0,l2,27.616610787772533,27.616610787772533,27.854107751413615,1.7460963656509492,6.891980319778668e-09
12.0,80.0,80.0,ER,gumbel,0.0,l2,52.355852927549854,52.355852927549854,53.536791502834305,5.935735473712741,1.5368399886028783e-08
12.0,80.0,80.0,ER,uniform,0.0,l2,9.794111260922854,9.794111260922854,9.797373199021614,0.8217123350614778,2.554187972236832e-09
12.0,80.0,10.0,ER,gauss,0.0,l2,14.083639669356772,14.083639669356772,15.147093001183704,5.411873020597043,1.4583918073185487e-08
12.0,80.0,10.0,ER,exp,0.0,l2,13.089977552604385,13.089977552604385,13.13084895850964,0.8367497588481021,9.041173143486958e-09
12.0,80.0,10.0,ER,gumbel,0.0,l2,25.39647842100363,25.39647842100363,27.394546542468632,9.70123904381947,1.9990338273601083e-08
12.0,80.0,10.0,ER,uniform,0.0,l2,4.228606237432251,4.228606237432251,4.230244440605985,0.4558245660131635,5.723990170736215e-09
