n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
2.0,5.0,5.0,ER,gauss,0.01,l2,0.09592441683047648,0.14136800939215952,0.14137226210609694,0.14127187741721645,2.9164066717157766e-09
2.0,5.0,5.0,ER,exp,0.01,l2,0.05172150202769847,0.11199682022724661,0.11200131592313198,0.11198351124132158,2.9985649518948776e-09
2.0,5.0,5.0,ER,gumbel,0.01,l2,0.05586168256272949,0.10937949735362491,0.10938035647036494,0.0844795652867169,4.1451579946283346e-09
2.0,5.0,5.0,ER,uniform,0.01,l2,0.029312014202973066,0.09598598430958291,0.09598844981941075,0.09597857582280307,2.2205899341543045e-09
5.0,5.0,5.0,ER,gauss,0.01,l2,0.45917148175163414,0.7888185133857,0.7888237618498832,0.7888024638803829,3.239896351203697e-09
5.0,5.0,5.0,ER,exp,0.01,l2,0.22033897019211085,0.30136723978570246,0.3013711982171545,0.29637662196977477,8.897675485286527e-09
5.0,5.0,5.0,ER,gumbel,0.01,l2,1.285513474431908,1.3568789773018142,1.3569231595819902,1.3178270060221065,2.972617707541758e-09
5.0,5.0,5.0,ER,uniform,0.01,l2,0.13284449628174969,0.2008004069179546,0.20080317512906426,0.1941015954341221,7.4407138228593794e-09
7.0,5.0,5.0,ER,gauss,0.01,l2,1.2227174596213723,1.3342100087356399,1.3342451859930393,1.3341072910923988,8.38775982003881e-09
7.0,5.0,5.0,ER,exp,0.01,l2,1.4117025585583614,1.5148295733861583,1.5148503489655356,1.5147730083414301,6.446018829819877e-09
7.0,5.0,5.0,ER,gumbel,0.01,l2,2.5202190320022577,2.629013132670744,2.629038209375696,2.5946937971159305,2.2394956999960414e-09
7.0,5.0,5.0,ER,uniform,0.01,l2,0.3715879660441279,0.4774640882252005,0.47746850259670603,0.47745091329599687,2.9713200788705763e-09
10.0,5.0,5.0,ER,gauss,0.01,l2,1.7779890325075458,1.8486106805405007,1.8486436472843892,1.5960976909259912,8.119943828432952e-09
10.0,5.0,5.0,ER,exp,0.01,l2,1.659218636703212,1.766102770467586,1.7661225352004735,1.7137373846678248,6.287246279157443e-10
10.0,5.0,5.0,ER,gumbel,0.01,l2,1.39830768950913,1.4941195487486505,1.4941325772026166,1.4757548869257067,5.10459674529784e-09
10.0,5.0,5.0,ER,uniform,0.01,l2,0.5147534451899237,0.6277878388525988,0.6277937826690552,0.5829576436310423,3.4478446764296677e-09
15.0,5.0,5.0,ER,gauss,0.01,l2,1.3614309450926785,1.4448402478918192,1.4448593756914168,1.4336686665345741,6.185111089962447e-09
15.0,5.0,5.0,ER,exp,0.01,l2,1.503474114090726,1.5783213812263817,1.5783411029843422,1.5218903995518904,6.2804073053257525e-09
15.0,5.0,5.0,ER,gumbel,0.01,l2,3.0128906499288908,3.100277708847344,3.1003126562371346,2.9601584396397023,8.360309777799557e-09
15.0,5.0,5.0,ER,uniform,0.01,l2,0.5860913774514898,0.6689649797921392,0.6689707424784304,0.648193101655821,3.394903913545022e-09
20.0,5.0,5.0,ER,gauss,0.01,l2,2.098246641717393,2.1728361195707127,2.1728641314333035,2.0836764602491575,7.484899811061041e-09
20.0,5.0,5.0,ER,exp,0.01,l2,1.748820252659935,1.827318088248425,1.8273360497268685,1.8272663306268857,5.993576301932535e-09
20.0,5.0,5.0,ER,gumbel,0.01,l2,3.710026942712416,3.792328503812031,3.7923652049927323,3.652723221893258,2.7092870169553862e-09
20.0,5.0,5.0,ER,uniform,0.01,l2,0.649048928290361,0.7016764791029321,0.7016857845994173,0.6914672916511866,4.314046009312733e-09
2.0,10.0,10.0,ER,gauss,0.01,l2,0.4389163937674335,0.5579654733745337,0.5581284336069612,0.13500801725087416,5.708944428306495e-09
2.0,10.0,10.0,ER,exp,0.01,l2,0.06087124427369587,0.1648590739541346,0.1649245242212259,0.11994593530122795,3.6180178852873723e-09
2.0,10.0,10.0,ER,gumbel,0.01,l2,0.06977822599629947,0.17223267458503116,0.1724818694258133,0.12564195332368555,7.05967195813173e-09
2.0,10.0,10.0,ER,uniform,0.01,l2,0.027123994171144975,0.07607781095523214,0.07607946247575696,0.06553288534480874,5.747208930984016e-09
5.0,10.0,10.0,ER,gauss,0.01,l2,1.1676393282750293,1.483602950256622,1.4836254373640916,0.9211689438374306,6.706281752144605e-09
5.0,10.0,10.0,ER,exp,0.01,l2,1.7393369710197526,1.9707549207673927,1.970800903756426,1.0518102900174688,3.03258929079675e-09
5.0,10.0,10.0,ER,gumbel,0.01,l2,0.5714321855676606,0.9436860308462041,0.9436936250439462,0.682918123202204,3.8972292060179825e-09
5.0,10.0,10.0,ER,uniform,0.01,l2,4.664210295039132,4.91652190737406,4.916567266314554,0.9245942345468974,3.0119409188955615e-09
7.0,10.0,10.0,ER,gauss,0.01,l2,1.5013160845584403,1.7146115436071574,1.714651480079172,1.4511838649568807,2.8261801787721197e-09
7.0,10.0,10.0,ER,exp,0.01,l2,2.385985041723178,2.7439862390950207,2.744011368697366,1.5527249468883748,2.2418564782356043e-09
7.0,10.0,10.0,ER,gumbel,0.01,l2,1.2234747559640504,1.7394870284927488,1.739508183712216,1.6467248827000938,6.5046474873042825e-09
7.0,10.0,10.0,ER,uniform,0.01,l2,0.4402746195442728,0.657537266771192,0.6575494348646418,0.5637242463868672,4.933172093046778e-09
10.0,10.0,10.0,ER,gauss,0.01,l2,1.9422555011305898,2.2482552754696323,2.248302393080959,2.0826174760805336,9.707482817589153e-09
10.0,10.0,10.0,ER,exp,0.01,l2,2.2977542228078667,2.617402060988596,2.6174464958749355,2.5063906431650143,2.981103364163573e-09
