n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
2.0,5.0,5.0,ER,gauss,0.01,l2,0.012992081084121459,0.0900503167621518,0.09005200718524216,0.09004467321273284,5.814504433487855e-09
2.0,5.0,5.0,ER,exp,0.01,l2,0.014218443758935245,0.08204411701920697,0.08204610795624213,0.08203733823035748,6.3102092440203705e-09
2.0,5.0,5.0,ER,gumbel,0.01,l2,0.022622860491965165,0.09436628945502679,0.09437023748543356,0.09435424014655443,8.885978175499076e-09
2.0,5.0,5.0,ER,uniform,0.01,l2,0.15603488873059157,0.20853242061935345,0.2085498994516837,0.17374700822458367,5.9125007112470485e-09
5.0,5.0,5.0,ER,gauss,0.01,l2,0.5348215078987335,0.6391359521564736,0.6391443496288635,0.6391116490933243,4.098163586263581e-09
5.0,5.0,5.0,ER,exp,0.01,l2,0.2578470923205374,0.35412143162478726,0.35412607070952673,0.3462879753697353,3.046008778539999e-09
5.0,5.0,5.0,ER,gumbel,0.01,l2,2.2553853435807505,2.4720915772848593,2.4721521971273597,2.294950704325943,3.481948951389313e-09
5.0,5.0,5.0,ER,uniform,0.01,l2,0.20145816615672874,0.28262074135647575,0.28262399799506976,0.27753525316899474,2.552112299269993e-09
7.0,5.0,5.0,ER,gauss,0.01,l2,1.3153586294498527,1.432563469379501,1.432580602056304,1.4091386884613857,5.853661555477174e-09
7.0,5.0,5.0,ER,exp,0.01,l2,1.6198194087841682,1.7753570611787608,1.7753881416583266,1.7752711539862371,7.884222164022958e-09
7.0,5.0,5.0,ER,gumbel,0.01,l2,3.0319997501336147,3.1408264450567533,3.140890650243663,3.0782479545127646,3.583439323051607e-09
7.0,5.0,5.0,ER,uniform,0.01,l2,0.5686972025881859,0.6668538134235079,0.6668603820291834,0.6460356593801293,3.624529121282194e-09
10.0,5.0,5.0,ER,gauss,0.01,l2,1.826430113964429,1.9006703050583675,1.9006875386678623,1.879962216961977,5.870878894143061e-09
10.0,5.0,5.0,ER,exp,0.01,l2,0.9239670179522957,0.9863740542990831,0.9863946998282583,0.9585132740508099,6.42581188259328e-09
10.0,5.0,5.0,ER,gumbel,0.01,l2,1.7374522771930245,1.8192088572157885,1.8192469017444268,1.8034347734214573,8.722904176750035e-09
10.0,5.0,5.0,ER,uniform,0.01,l2,0.6373992237113479,0.7094946543528964,0.7095012724117341,0.6202824468574596,3.638147560991456e-09
15.0,5.0,5.0,ER,gauss,0.01,l2,1.3860620357442914,1.4914640296826183,1.491489044094434,1.4807997563185755,7.073105656729695e-09
