n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
5.0,5.0,5.0,ER,gauss,0.01,l2,0.6220940341814605,0.7667169281736093,0.766725035658535,0.7654444778767762,4.026781574850702e-09
5.0,5.0,5.0,ER,exp,0.01,l2,0.514074379016333,0.6087815031552667,0.6087883814932813,0.6074001792138709,3.7089993298877744e-09
5.0,5.0,5.0,ER,gumbel,0.01,l2,0.567895993064944,0.7197398917226935,0.7197473856607896,0.6218457544084405,3.871417852963077e-09
5.0,5.0,5.0,ER,uniform,0.01,l2,0.6166671671750653,0.7007139551266114,0.7007230859194895,0.665445495494747,4.273357667727851e-09
5.0,5.0,5.0,ER,logistic,0.01,l2,0.22222588992533676,0.23531690247209414,0.2353209711801719,0.23530202916594706,9.020762803402249e-09
5.0,5.0,5.0,ER,poisson,0.01,l2,0.0,0.0,0.0,0.0,0.0
10.0,5.0,5.0,ER,gauss,0.01,l2,1.6700819816021686,1.7615367318499129,1.7615696926442037,1.6852492026830785,8.119211081236699e-09
10.0,5.0,5.0,ER,exp,0.01,l2,0.6186961708395304,0.7064581511362353,0.7064627067272834,0.6930522276130697,3.018473471172456e-09
10.0,5.0,5.0,ER,gumbel,0.01,l2,1.588577318312276,1.668662869234443,1.6686828476121742,1.5232207601138366,6.3211356149395215e-09
10.0,5.0,5.0,ER,uniform,0.01,l2,0.6639327182764797,0.7691387176590608,0.7691486575988821,0.7526673493095472,4.4586858649608985e-09
10.0,5.0,5.0,ER,logistic,0.01,l2,0.43908284354500415,0.4611425177885106,0.46114624257837417,0.44217065154464047,2.7293918236637182e-09
10.0,5.0,5.0,ER,poisson,0.01,l2,0.0,0.0,0.0,0.0,0.0
20.0,5.0,5.0,ER,gauss,0.01,l2,2.7361273106232877,2.8016277002317453,2.8017159839006065,2.627763200820749,4.201991643526526e-09
20.0,5.0,5.0,ER,exp,0.01,l2,1.8486147590521336,1.919393237594667,1.9194294517625448,1.8575522371184217,8.510483873180874e-09
20.0,5.0,5.0,ER,gumbel,0.01,l2,4.020883465142868,4.115447086939845,4.115489185770817,4.1022350896699304,2.9016833380524076e-09
20.0,5.0,5.0,ER,uniform,0.01,l2,0.7935784482670816,0.8673700423398416,0.8673753893048075,0.7797697488867305,3.2701574781413e-09
20.0,5.0,5.0,ER,logistic,0.01,l2,0.5515195432479828,0.5635649025149447,0.5635684106523068,0.5428133856613547,2.64882515921272e-09
20.0,5.0,5.0,ER,poisson,0.01,l2,0.0,0.0,0.0,0.0,0.0
40.0,5.0,5.0,ER,gauss,0.01,l2,2.0418592811758756,2.1103105478036572,2.1103678827961003,2.1026367489955744,3.3862956883012885e-09
40.0,5.0,5.0,ER,exp,0.01,l2,3.112364803263759,3.1853518583140845,3.1853807243091907,3.1457910621160066,2.4027482226074426e-09
40.0,5.0,5.0,ER,gumbel,0.01,l2,3.5290991091524186,3.601208607574852,3.6012361742273615,3.54417279839554,7.425180470477244e-10
40.0,5.0,5.0,ER,uniform,0.01,l2,0.8231132003128199,0.8928805114803762,0.8928895283293637,0.8876596103226213,4.246610174618581e-09
40.0,5.0,5.0,ER,logistic,0.01,l2,0.5414833118368175,0.5575307852433822,0.5575362853802355,0.5309990838020934,3.3166660529104774e-09
40.0,5.0,5.0,ER,poisson,0.01,l2,0.0,0.0,0.0,0.0,0.0
5.0,10.0,10.0,ER,gauss,0.01,l2,2.4921438271513057,2.749885469726376,2.749928432574844,0.7892605846910481,2.9313085292415053e-09
5.0,10.0,10.0,ER,exp,0.01,l2,0.4084635589476152,0.6330585175840917,0.633067246785003,0.4532835919720112,4.178325241355196e-09
5.0,10.0,10.0,ER,gumbel,0.01,l2,1.5658229416443303,1.8942632728103304,1.8942915480333844,1.4259736417380164,2.378033769900867e-09
