n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
30,31,30,ER,gumbel,0,l2,9.618181787,9.618181787,9.618309238,9.618780009,5.05E-09,22.48564901,22.48564901,22.48564901,22.48564901,3.55E-15,26.7163301,26.7163301,26.7163301,26.7163301,0
31,32,31,ER,gumbel,0,l2,11.67557246,11.67557246,11.67574951,11.67639528,5.95E-09,27.76483307,27.76483307,27.76483307,27.76483307,0,32.14523113,32.14523113,32.14523113,32.14523113,0
32,33,32,ER,gumbel,0,l2,11.18517128,11.18517128,11.21282774,11.2719328,7.44E-09,30.15827855,30.15827855,30.15827855,30.15827855,0,29.26486726,29.26486726,29.26486726,29.26486726,0
33,34,33,ER,gumbel,0,l2,12.71623367,12.71623367,12.71651277,12.717552,7.47E-09,26.76223529,26.76223529,26.76223529,26.7622353,1.42E-14,34.06512926,34.06512926,34.06512926,34.06512926,0
34,35,34,ER,gumbel,0,l2,13.00513989,13.00513989,13.00543636,13.00655464,7.70E-09,57.63788434,57.63788434,57.63788434,57.63788434,0,33.66717583,33.66717583,33.66717583,33.66717583,0
35,36,35,ER,gumbel,0,l2,14.1801035,14.1801035,14.18037604,14.18138458,7.38E-09,47.18731804,47.18731804,47.18731804,47.18731804,2.13E-14,36.26296011,36.26296011,36.26296011,36.26296011,0
36,37,36,ER,gumbel,0,l2,16.05500967,16.05500967,16.05522529,16.05581265,2.08E-09,39.6074902,39.6074902,39.6074902,39.6074902,0,41.82083921,41.82083921,41.82083921,41.82083921,0
37,38,37,ER,gumbel,0,l2,14.38833726,14.38833726,14.38872579,14.39015276,2.79E-09,75.99169513,75.99169513,75.99169513,75.99169513,0,35.76290963,35.76290963,35.76290963,35.76290963,0
38,39,38,ER,gumbel,0,l2,12.68971452,12.68971452,12.68998398,12.69099056,7.34E-09,42.49176913,42.49176913,42.49176913,42.49176913,0,34.59772714,34.59772714,34.59772714,34.59772714,0
39,40,39,ER,gumbel,0,l2,15.71809128,15.71809128,15.71814643,15.71926013,3.32E-09,44.47510288,44.47510288,44.47510288,44.47510288,-7.11E-15,39.82582311,39.82582311,39.82582311,39.82582311,0
40,41,40,ER,gumbel,0,l2,14.68119635,14.68119635,14.68153347,14.68278993,8.21E-09,35.6509809,35.6509809,35.6509809,35.6509809,7.11E-15,38.68021799,38.68021799,38.68021799,38.68021799,0
41,42,41,ER,gumbel,0,l2,15.05318785,15.05318785,15.05346751,15.05451857,7.48E-09,55.07534107,55.07534107,55.07534107,55.07534107,7.11E-15,43.67848156,43.67848156,43.67848156,43.67848156,0
42,43,42,ER,gumbel,0,l2,17.92429553,17.92429553,17.92553479,17.92840638,1.57E-09,48.6365936,48.6365936,48.6365936,48.6365936,0,43.22672657,43.22672657,43.22672657,43.22672657,0
43,44,43,ER,gumbel,0,l2,16.053066,16.053066,16.05347262,16.05497255,9.02E-09,57.13301664,57.13301664,57.13301664,57.13301664,0,44.03366738,44.03366738,44.03366738,44.03366738,0
44,45,44,ER,gumbel,0,l2,17.82218961,17.82218961,17.82262951,17.82425842,9.38E-09,59.2102277,59.2102277,59.2102277,59.2102277,0,46.01320315,46.01320315,46.01320315,46.01320315,0
45,46,45,ER,gumbel,0,l2,17.88546675,17.88546675,17.88586789,17.88735806,8.96E-09,42.47456566,42.47456566,42.47456566,42.47456566,-1.42E-14,46.42615668,46.42615668,46.42615668,46.42615668,0
46,47,46,ER,gumbel,0,l2,18.20557392,18.20557392,18.20623004,18.20797633,3.62E-09,41.58997603,41.58997603,41.58997603,41.58997603,0,43.98598516,43.98598516,43.98598516,43.98598516,0
47,48,47,ER,gumbel,0,l2,16.97987926,16.97987926,16.98027341,16.98173676,8.88E-09,55.99216055,55.99216055,55.99216055,55.99216055,0,45.56860981,45.56860981,45.56860981,45.56860981,0
48,49,48,ER,gumbel,0,l2,19.06132844,19.06132844,19.0616071,19.06231634,7.47E-10,91.87297488,91.87297488,91.87297488,91.8729748,-9.24E-14,47.34179124,47.34179124,47.34179124,47.34179124,0
49,50,49,ER,gumbel,0,l2,19.71554057,19.71554057,20.04584036,20.72422686,8.13E-09,68.25943695,68.25943695,68.25943695,68.25943991,3.55E-14,47.94542309,47.94542309,47.94542309,47.94542309,0
50,51,50,ER,gumbel,0,l2,20.74032348,20.74032348,26.39714671,37.7424747,3.36E-08,62.55160261,62.55160261,62.55160261,62.55160261,0,52.39415024,52.39415024,52.39415024,52.39415024,0
51,52,51,ER,gumbel,0,l2,20.13074327,20.13074327,20.13106137,20.13222317,2.52E-09,89.95299911,89.95299911,89.95299911,89.95299911,7.11E-15,50.19390357,50.19390357,50.19390357,50.19390357,0
52,53,52,ER,gumbel,0,l2,20.30198111,20.30198111,20.30234918,20.30366101,2.71E-09,92.83581996,92.83581996,92.83581996,92.83581996,0,49.81269372,49.81269372,49.81269372,49.81269372,0
