loss_est,loss_l1,obj_aug,obj_dual,h,fro_dist
2.6133786897360234,0.0,0.0,0.0,0.0,0.0
0.3573688274977393,0.3573688274977393,0.3573745281526623,0.35739580590546777,3.376582569103448e-09,7.386639334747252
0.35735264531417965,0.35735264531417965,0.357358290735861,0.3573794180048263,3.360185019118944e-09,7.816563601425514
0.3573528983254087,0.3573528983254087,0.35735856542298094,0.357379702841281,3.3666296417322883e-09,8.26718227071166
0.35735297801120186,0.35735297801120186,0.357358638293242,0.3573797627046657,3.364604594935372e-09,7.1950818979450775
0.3573671070584328,0.3573671070584328,0.3573728048196806,0.35739407053930117,3.3757254769284373e-09,7.8009619385708495
0.35735289653031654,0.35735289653031654,0.3573585643335904,0.35737970740140246,3.3668392518393375e-09,7.92462483596267
0.3573683125463465,0.3573683125463465,0.35737401316228246,0.35739528924644964,3.376571022783992e-09,7.386388525190389
0.3573674865430178,0.3573674865430178,0.3573731968858494,0.35739447136892166,3.3794504972206596e-09,7.388442694796537
0.3573720232070322,0.3573720232070322,0.3573777282383471,0.35739902833593806,3.3778784214177904e-09,8.281322243564315
0.35736799876002406,0.35736799876002406,0.35737370880870706,0.35739498501280836,3.379363455735529e-09,7.800484663190642
0.35733701220834907,0.35733701220834907,0.35734264172222924,0.35736365604612236,3.3554474754282637e-09,8.16180449804354
0.3573697954373397,0.3573697954373397,0.3573754992626546,0.35739678733722163,3.377521373693071e-09,7.915326148477141
0.35737058095631136,0.35737058095631136,0.35737627991991944,0.35739756417968677,3.376081636474737e-09,8.588336879671814
0.35736645518334825,0.35736645518334825,0.35737215138861234,0.3573934165040271,3.375264512328613e-09,6.836897313602103
0.3573352236019773,0.3573352236019773,0.3573408411654993,0.3573618128333579,3.351884103608427e-09,7.3973198648122604
0.3573540752679614,0.3573540752679614,0.3573597502802792,0.35738091614623424,3.368979761830815e-09,8.148674506882188
0.35735289653031654,0.35735289653031654,0.3573585643335904,0.35737970740140246,3.3668392518393375e-09,7.92462483596267
0.3573767863279588,0.3573767863279588,0.3573824939096936,0.35740381908468094,3.3786333730745355e-09,8.016581706750575
0.3573666495984398,0.3573666495984398,0.35737234776445803,0.35739361271020387,3.3758453810150968e-09,7.9145877185482085
0.3573668126694159,0.3573668126694159,0.35737250823915623,0.35739378021460816,3.3750762185036365e-09,7.80283593811972
0.35736889372015707,0.35736889372015707,0.357374594132163,0.35739587176492826,3.376510626651452e-09,7.065884163130108
0.3573704528629013,0.3573704528629013,0.3573761558902862,0.35739744273741136,3.3772851182334307e-09,7.720396387701348
0.3573551267598729,0.3573551267598729,0.35736078324732035,0.3573819357472945,3.363476608342353e-09,7.39675152379867
0.3573557507927039,0.3573557507927039,0.35736142997998516,0.357382611393025,3.3702187707262965e-09,7.286298815410913
0.35736687424124985,0.35736687424124985,0.3573725719994994,0.35739383523687107,3.3757245887500176e-09,8.612590806940824
0.35733701220834907,0.35733701220834907,0.35734264172222924,0.35736365604612236,3.3554474754282637e-09,8.16180449804354
0.3573692703940465,0.3573692703940465,0.3573749722906263,0.3573962532440173,3.3769502749692037e-09,7.619761485770388
0.35737149181397343,0.35737149181397343,0.3573771943734254,0.3573984881501521,3.3771465623999575e-09,7.913453853829504
0.357352784208555,0.357352784208555,0.3573584553375902,0.3573796037141568,3.367826906242044e-09,7.5601426217020995
0.35736889046882997,0.35736889046882997,0.35737459017310713,0.357395865421518,3.376301016544403e-09,7.778072418145835
0.35736753056570014,0.35736753056570014,0.3573732276163857,0.3573944933277827,3.3755149786429683e-09,8.740189289842375
0.35737198998360814,0.35737198998360814,0.3573776955039594,0.35739899650842677,3.3780231945002015e-09,7.388471589984221
0.3573683125463465,0.3573683125463465,0.35737401316228246,0.35739528924644964,3.376571022783992e-09,7.386388525190389
0.35737233460341583,0.35737233460341583,0.35737804126993444,0.35739934533920903,3.378362478656527e-09,7.387456360328156
0.3573692413706135,0.3573692413706135,0.3573749216505221,0.35739614877556425,3.370542955849487e-09,7.844786727524607
0.3573647579970638,0.3573647579970638,0.35737045191221056,0.3573917039580406,3.374585944015962e-09,7.3870802451068185
0.3573658086923349,0.3573658086923349,0.3573715013307314,0.35739275194247017,3.3742075800091698e-09,8.347970526776292
0.35735210752425123,0.35735210752425123,0.35735776889411003,0.35737889675145085,3.364927891880143e-09,7.2034407071198245
0.35736753056570014,0.35736753056570014,0.3573732276163857,0.3573944933277827,3.3755149786429683e-09,8.740189289842375
0.3573344275044924,0.3573344275044924,0.3573400443446094,0.35736101518490776,3.3516682762524397e-09,7.390592162364383
0.3573713642260375,0.3573713642260375,0.35737707009142705,0.35739836778707174,3.378125335018467e-09,6.8980997373556185
0.3573692703940465,0.3573692703940465,0.3573749722906263,0.3573962532440173,3.3769502749692037e-09,7.619761485770388
0.357369464952235,0.357369464952235,0.35737516697478755,0.35739644983854524,3.376987578462831e-09,7.386096033542723
0.35736871545027726,0.35736871545027726,0.3573744160212283,0.35739569192490217,3.3765577001076963e-09,8.483940691126394
0.35736835712364995,0.35736835712364995,0.35737405633314284,0.35739532936384566,3.3761544671051524e-09,7.9667333409280685
0.3573556670123236,0.3573556670123236,0.35736134687612336,0.3573825286740556,3.3704194990491487e-09,7.9235129115874345
0.3573656289060515,0.3573656289060515,0.35737133566858936,0.35739259896322884,3.3783909003659574e-09,7.296723688251457
0.35736753056570014,0.35736753056570014,0.3573732276163857,0.3573944933277827,3.3755149786429683e-09,8.740189289842375
0.3573539139301605,0.3573539139301605,0.35735958629763304,0.35738074019067,3.3681946121078e-09,8.597576719488083
