n,d,s0,graph_type,sem_type,fdr,tpr,fpr,shd,nnz,hamming
100.0,20.0,60.0,SF,gauss,0.0,0.9444444444444444,0.0,3.0,51.0,0.0075
100.0,20.0,60.0,SF,exp,0.0,0.9629629629629629,0.0,2.0,52.0,0.005
100.0,20.0,60.0,SF,gumbel,0.23333333333333334,0.8518518518518519,0.10294117647058823,21.0,60.0,0.055
100.0,20.0,60.0,SF,uniform,0.06521739130434782,0.7962962962962963,0.022058823529411766,14.0,46.0,0.035
100.0,20.0,60.0,SF,logistic,0.0,0.0,0.0,54.0,0.0,0.135
100.0,20.0,60.0,SF,poisson,0.0,0.0,0.0,54.0,0.0,0.135
100.0,40.0,1.0,SF,gauss,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,1.0,SF,exp,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,1.0,SF,gumbel,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,1.0,SF,uniform,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,1.0,SF,logistic,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,1.0,SF,poisson,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,20.0,SF,gauss,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,20.0,SF,exp,1.0,0.0,0.001282051282051282,1.0,1.0,0.000625
100.0,40.0,20.0,SF,gumbel,1.0,0.0,0.002564102564102564,2.0,2.0,0.00125
100.0,40.0,20.0,SF,uniform,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,20.0,SF,logistic,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,20.0,SF,poisson,0.0,0.0,0.0,0.0,0.0,0.0
100.0,40.0,80.0,SF,gauss,0.013888888888888888,0.922077922077922,0.001422475106685633,7.0,72.0,0.004375
100.0,40.0,80.0,SF,exp,0.1518987341772152,0.8701298701298701,0.017069701280227598,21.0,79.0,0.01375
100.0,40.0,80.0,SF,gumbel,0.02564102564102564,0.987012987012987,0.002844950213371266,3.0,78.0,0.001875
100.0,40.0,80.0,SF,uniform,0.046153846153846156,0.8051948051948052,0.004267425320056899,18.0,65.0,0.01125
100.0,40.0,80.0,SF,logistic,0.0,0.0,0.0,77.0,0.0,0.048125
100.0,40.0,80.0,SF,poisson,0.0,0.0,0.0,77.0,0.0,0.048125
100.0,40.0,120.0,SF,gauss,0.009009009009009009,0.9649122807017544,0.0015015015015015015,5.0,111.0,0.003125
100.0,40.0,120.0,SF,exp,0.04672897196261682,0.8947368421052632,0.0075075075075075074,16.0,107.0,0.010625
100.0,40.0,120.0,SF,gumbel,0.02608695652173913,0.9824561403508771,0.0045045045045045045,5.0,115.0,0.003125
100.0,40.0,120.0,SF,uniform,0.052083333333333336,0.7982456140350878,0.0075075075075075074,28.0,96.0,0.0175
100.0,40.0,120.0,SF,logistic,0.0,0.0,0.0,114.0,0.0,0.07125
100.0,40.0,120.0,SF,poisson,0.0,0.0,0.0,114.0,0.0,0.07125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
