loss_est,loss_l1,obj_aug,obj_dual,h
24.97887303755633,0.0,0.0,0.0,0.0
2.381348172021302,2.381348172021302,2.3814449597666356,2.3817910504162714,4.3997214760338466e-09
2.1336377859434332,2.1336377859434332,2.133694354283307,2.133901927666591,3.363579637039038e-09
2.1342207783031215,2.1342207783031215,2.1342849481029127,2.134515950483055,3.5824516686489005e-09
2.3991327513857215,2.3991327513857215,2.3992178765187058,2.399546561845172,4.126139430127296e-09
2.135787352987245,2.135787352987245,2.1358354236475647,2.136019194006085,3.100666390309925e-09
2.39116629008689,2.39116629008689,2.391252249223784,2.3915723392735644,4.146302856611328e-09
2.1348067506676878,2.1348067506676878,2.1348659544302864,2.1350819659382063,3.4410394533779254e-09
2.128581526027905,2.128581526027905,2.1286337214956594,2.128827427173727,3.2309586117662548e-09
2.133341139082497,2.133341139082497,2.1333946858449253,2.1335918992436467,3.2725147036671842e-09
2.1358238065599124,2.1358238065599124,2.1358738050397896,2.136061077774649,3.1622295892930197e-09
2.128575124890998,2.128575124890998,2.128624533568196,2.1288090766046768,3.1435227754172956e-09
2.12814657696125,2.12814657696125,2.1281979214538067,2.128385807847632,3.204512211141264e-09
2.1345546157884803,2.1345546157884803,2.134620199545821,2.1348524599336547,3.6217056020859673e-09
2.1240057326811255,2.1240057326811255,2.1240489296442067,2.1242116759674703,2.9392843714504124e-09
2.3933144004445674,2.3933144004445674,2.3933930260407723,2.3936993325828944,3.965491046642455e-09
2.392123965770654,2.392123965770654,2.39221904546573,2.3925709503256947,4.360726890695332e-09
2.3782749819398505,2.3782749819398505,2.378349933803122,2.3786319035095733,3.871740261729428e-09
2.1310250737935807,2.1310250737935807,2.1310785078982737,2.1312734203207837,3.269070347755587e-09
2.1260805519011763,2.1260805519011763,2.12613325140309,2.126325369136856,3.2465212740362404e-09
2.130827441371578,2.130827441371578,2.130884072824176,2.1310899245062886,3.3654554698614447e-09
2.1342596139332786,2.1342596139332786,2.1343180828821327,2.1345310990011246,3.4196183662515978e-09
